bathrooms,bedrooms,link,listing_type,location,price,purpose,size_sqm,title,source,price_per_sqm,beds_bin
3.0,3,https://www.bayut.om/en/property/details-130282543.html,Villa,"Sultan Haitham City, Muscat",111700.0,For Sale,194.0,3 Bedroom Villa For Sale in Sultan Haitham City Muscat,bayut,575.7731958762887,"(2, 3]"
3.0,3,https://www.bayut.om/en/property/details-130282566.html,Villa,"Sultan Haitham City, Muscat",121200.0,For Sale,205.0,3 Bedroom Villa For Sale in Sultan Haitham City Muscat,bayut,591.219512195122,"(2, 3]"
5.0,4,https://www.bayut.om/en/property/details-130273586.html,Villa,"Muscat Hills, Muscat",325000.0,For Sale,423.0,4 Bedroom Villa For Sale in Muscat Hills Muscat,bayut,768.3215130023641,"(3, 4]"
1.0,1,https://www.bayut.om/en/property/details-130273305.html,Apartment,"Al Sifah, Muscat",55000.0,For Sale,59.0,1 Bedroom Apartment For Rent Muscat Al Sifah,bayut,932.2033898305085,"(0, 1]"
6.0,6,https://www.bayut.om/en/property/details-130321577.html,Villa,"Al Seeb, Muscat",125000.0,For Sale,363.0,6 Bedroom Villa For Sale Al Seeb Muscat,bayut,344.3526170798898,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-130272566.html,Apartment,"The Wave (Almouj), Muscat",198000.0,For Sale,200.0,3 Bedrooms Apartment For Sale The Wave Almouj Muscat,bayut,990.0,"(2, 3]"
6.0,7,https://www.bayut.om/en/property/details-130282994.html,Villa,"Al Seeb, Muscat",98000.0,For Sale,300.0,7 Bedroom Villa For Sale in Al Seeb Muscat,bayut,326.6666666666667,"(6, 15]"
1.0,1,https://www.bayut.om/en/property/details-130301309.html,Apartment,"Muscat Hills, Muscat",88000.0,For Sale,105.0,2 Bedrooms Apartment For Sale Muscat Hills Muscat,bayut,838.0952380952381,"(0, 1]"
2.0,1,https://www.bayut.om/en/property/details-130295729.html,Apartment,"Yiti, Muscat",85034.0,For Sale,79.0,1 Bedroom Apartment For Sale in Yiti Muscat,bayut,1076.379746835443,"(0, 1]"
3.0,2,https://www.bayut.om/en/property/details-130306966.html,Apartment,"Ghala, Muscat",59000.0,For Sale,139.0,2 Bedroom Apartment For Sale Ghala Muscat,bayut,424.46043165467626,"(1, 2]"
6.0,4,https://www.bayut.om/en/property/details-130300440.html,Villa,"Barka, Al Batinah",59000.0,For Sale,300.0,4 Bedrooms Villa For Sale in Barka Al Batinah,bayut,196.66666666666666,"(3, 4]"
3.0,3,https://www.bayut.om/en/property/details-130289813.html,Apartment,"Qurum, Muscat",54000.0,For Sale,108.0,3 Bedroom Apartment For Sale in Qurum Muscat,bayut,500.0,"(2, 3]"
3.0,2,https://www.bayut.om/en/property/details-130279256.html,Apartment,"The Wave (Almouj), Muscat",450000.0,For Sale,183.0,2 Bedrooms Apartment For Sale The Wave Almouj Muscat,bayut,2459.0163934426228,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130270497.html,Apartment,"Al Sifah, Muscat",95000.0,For Sale,129.0,2 Bedroom Apartment For Sale in Al Sifah Muscat,bayut,736.4341085271318,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-130270582.html,Apartment,"Al Sifah, Muscat",99000.0,For Sale,129.0,2 Bedroom Apartment For Sale Al Sifah Muscat,bayut,767.4418604651163,"(1, 2]"
