title,location,price,currency,size_sqm,bedrooms,bathrooms,property_type,listing_type,furnished,amenities,description,agent_name,posted_date,reference_number,link,scraped_timestamp,page_number,price_numeric
"3 Bedrooms Apartment For Sale The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","195,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130288165.html,2025-07-25T18:07:32.327610,2,195000
"3 Bedroom Villa For Sale in Sultan Haitham City, Muscat","Sultan Haitham City, Muscat","116,500",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130282526.html,2025-07-25T18:07:32.327805,2,116500
"3 Bedroom Villa For Sale in Sultan Haitham City, Muscat","Sultan Haitham City, Muscat","111,700",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130282543.html,2025-07-25T18:07:32.328011,2,111700
"3 Bedroom Villa For Sale in Sultan Haitham City, Muscat","Sultan Haitham City, Muscat","121,200",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130282566.html,2025-07-25T18:07:32.328212,2,121200
"4 Bedroom Villa For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","325,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130273586.html,2025-07-25T18:07:32.328408,2,325000
1-Bedroom Apartment For Rent Muscat - Al Sifah,"Al Sifah, Muscat","55,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130273305.html,2025-07-25T18:07:32.328604,2,55000
"3 Bedrooms Apartment For Sale The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","198,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130272566.html,2025-07-25T18:07:32.328802,2,198000
"7 Bedroom Villa For Sale in Al Seeb, Muscat","Al Seeb, Muscat","98,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130282994.html,2025-07-25T18:07:32.329001,2,98000
"2 Bedrooms Apartment For Sale Muscat Hills, Muscat","Muscat Hills, Muscat","88,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130301309.html,2025-07-25T18:07:32.329189,2,88000
"1 Bedroom Apartment For Sale in Yiti, Muscat","Yiti, Muscat","85,034",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130295729.html,2025-07-25T18:07:32.329369,2,85034
"2 Bedroom Apartment For Sale Ghala, Muscat","Ghala, Muscat","59,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130306966.html,2025-07-25T18:07:32.329554,2,59000
"4 Bedrooms Villa For Sale in Barka, Al Batinah","Barka, Al Batinah","59,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130300440.html,2025-07-25T18:07:32.329751,2,59000
"3 Bedroom Apartment For Sale in Qurum, Muscat","Qurum, Muscat","54,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130289813.html,2025-07-25T18:07:32.329945,2,54000
2 Bedrooms Apartment For Sale The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","450,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130279256.html,2025-07-25T18:07:32.330140,2,450000
"2 Bedroom Apartment For Sale in Al Sifah, Muscat","Al Sifah, Muscat","95,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130270497.html,2025-07-25T18:07:32.330332,2,95000
2 Bedroom Apartment For Sale Al Sifah Muscat,"Al Sifah, Muscat","99,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130270582.html,2025-07-25T18:07:32.330514,2,99000
"2 Bedroom Apartment For Sale in Salalah, Dhofar","Salalah, Dhofar","85,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130270418.html,2025-07-25T18:07:32.330699,2,85000
"3 Bedrooms Apartment For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","74,350",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130286222.html,2025-07-25T18:07:32.330888,2,74350
3 Bedrooms Apartment For Sale Al Maabilah Muscat,"Al Maabilah, Muscat","108,990",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130286239.html,2025-07-25T18:07:32.331081,2,108990
"5 Bedrooms Villa For Sale in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","429,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130288041.html,2025-07-25T18:07:32.331266,2,429000
